timeframe,date_from,date_to,bars_count,price_start,price_end,sharpe_ratio,sortino_ratio,calmar_ratio,total_return,max_drawdown_pct,win_rate,profit_factor,total_trades,exit_mode,parameters,plateau_ratio,avg_neighbor_sharpe,neighbor_count,composite_score,cc_sharpe,cc_calmar,cc_profit_factor,cc_plateau,cc_trades,cc_cost_stress,cc_win_rate,cc_dd_penalty,wfo_pass_rate,wfo_avg_test_sharpe
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,13.8412,50.0767,188.7856,16808.8689,4.3060,0.7857,11.2799,112,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=70,bb_period=30,bb_std=2.5)",1.0000,11.1688,6,0.9615,0.2500,0.2000,0.1500,0.1500,0.0633,0.0998,0.0484,0.0000,0.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,15.6156,59.3080,871.7333,30902.6743,3.5974,0.8333,16.1903,102,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=20,rsi_high=75,bb_period=20,bb_std=2)",1.0000,13.1056,9,0.9591,0.2500,0.2000,0.1500,0.1500,0.0592,0.0999,0.0500,0.0000,0.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,13.6020,38.2455,494.9731,31502.1026,6.5762,0.8039,10.8316,102,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=20,rsi_high=70,bb_period=20,bb_std=2)",1.0000,13.5228,8,0.9589,0.2499,0.2000,0.1500,0.1500,0.0592,0.0998,0.0500,0.0000,0.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,13.9007,53.6244,542.7152,19528.7275,2.6993,0.8081,14.4112,99,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=70,bb_period=30,bb_std=2.5)",1.0000,13.4115,5,0.9576,0.2500,0.2000,0.1500,0.1500,0.0578,0.0998,0.0500,0.0000,0.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,13.9007,53.6244,542.7152,19528.7275,2.6993,0.8081,14.4112,99,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=75,bb_period=30,bb_std=2.5)",1.0000,12.7837,6,0.9576,0.2500,0.2000,0.1500,0.1500,0.0578,0.0998,0.0500,0.0000,0.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,9.9882,28.0203,43.0052,10560.8971,9.5171,0.7748,5.4617,111,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=75,bb_period=30,bb_std=2.5)",1.0000,8.6007,7,0.9573,0.2494,0.1999,0.1492,0.1500,0.0629,0.0987,0.0472,0.0000,0.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,10.7482,29.4959,77.1961,11870.7608,5.7382,0.7500,5.3343,116,bb_mean_revert,"rsi_bb_mr(rsi_period=21,rsi_low=30,rsi_high=70,bb_period=15,bb_std=2)",1.0000,8.8283,6,0.9571,0.2496,0.2000,0.1491,0.1500,0.0649,0.0991,0.0444,0.0000,0.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,13.3467,53.4675,458.6524,16989.2451,2.1813,0.7692,13.3973,104,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=80,bb_period=30,bb_std=2.5)",1.0000,11.3514,5,0.9563,0.2499,0.2000,0.1500,0.1500,0.0600,0.0997,0.0466,0.0000,0.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,14.8288,41.0097,266.6464,17225.6103,4.9437,0.8737,13.7144,95,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=75,bb_period=30,bb_std=2.5)",1.0000,10.9338,8,0.9559,0.2500,0.2000,0.1500,0.1500,0.0560,0.0999,0.0500,0.0000,0.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,11.1242,27.7873,185.9826,18670.3167,7.7118,0.8144,7.4528,97,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=75,bb_period=20,bb_std=2.5)",1.0000,9.1073,7,0.9558,0.2497,0.2000,0.1499,0.1500,0.0569,0.0992,0.0500,0.0000,0.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,11.1242,27.7873,185.9826,18670.3167,7.7118,0.8144,7.4528,97,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=70,bb_period=20,bb_std=2.5)",1.0000,9.5270,6,0.9558,0.2497,0.2000,0.1499,0.1500,0.0569,0.0992,0.0500,0.0000,0.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,9.8768,23.5492,106.9431,15495.8577,9.1142,0.8081,6.3341,99,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=80,bb_period=20,bb_std=2.5)",1.0000,9.3011,6,0.9555,0.2493,0.2000,0.1498,0.1500,0.0578,0.0986,0.0500,0.0000,0.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,13.3259,37.5956,401.2447,21974.3716,5.3437,0.8830,13.8702,94,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=70,bb_period=30,bb_std=2.5)",1.0000,13.8574,7,0.9553,0.2499,0.2000,0.1500,0.1500,0.0556,0.0997,0.0500,0.0000,0.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,13.7300,35.8507,246.9705,17333.3147,5.7240,0.8817,12.1052,93,bb_mean_revert,"rsi_bb_mr(rsi_period=21,rsi_low=30,rsi_high=70,bb_period=30,bb_std=2.5)",1.0000,10.5640,5,0.9549,0.2499,0.2000,0.1500,0.1500,0.0551,0.0998,0.0500,0.0000,-1.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,8.4506,20.3238,17.9139,34494.2937,8.3143,0.7348,5.8164,411,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=75,bb_period=20,bb_std=1.5)",0.8571,7.2847,7,0.9545,0.2482,0.1892,0.1495,0.1286,0.0992,0.0971,0.0428,0.0000,-1.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,10.7906,26.6587,181.1274,19243.7314,8.1226,0.7857,7.1376,98,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=75,bb_period=20,bb_std=2.5)",1.0000,9.7523,8,0.9544,0.2496,0.2000,0.1499,0.1500,0.0574,0.0991,0.0484,0.0000,-1.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,10.7906,26.6587,181.1274,19243.7314,8.1226,0.7857,7.1376,98,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=70,bb_period=20,bb_std=2.5)",1.0000,10.2293,7,0.9544,0.2496,0.2000,0.1499,0.1500,0.0574,0.0991,0.0484,0.0000,-1.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,16.5426,73.8946,1588.6441,29920.8123,2.8363,0.8242,17.9905,91,bb_mean_revert,"rsi_bb_mr(rsi_period=21,rsi_low=25,rsi_high=70,bb_period=20,bb_std=2)",1.0000,14.2767,8,0.9541,0.2500,0.2000,0.1500,0.1500,0.0542,0.0999,0.0500,0.0000,-1.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,9.5991,23.3050,130.7171,17186.6139,9.7561,0.8125,6.2250,96,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=70,bb_period=20,bb_std=2.5)",1.0000,9.9763,7,0.9537,0.2492,0.2000,0.1497,0.1500,0.0565,0.0984,0.0500,0.0000,-1.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,10.8190,25.8497,195.3969,19665.8546,8.5960,0.7789,6.7958,95,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=75,bb_period=20,bb_std=2.5)",1.0000,10.8443,7,0.9523,0.2496,0.2000,0.1499,0.1500,0.0560,0.0991,0.0477,0.0000,-1.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,10.8190,25.8497,195.3969,19665.8546,8.5960,0.7789,6.7958,95,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=70,bb_period=20,bb_std=2.5)",1.0000,11.3482,6,0.9523,0.2496,0.2000,0.1499,0.1500,0.0560,0.0991,0.0477,0.0000,-1.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,15.1809,53.8232,1316.7542,27045.6399,4.1574,0.8171,15.4459,82,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=20,rsi_high=75,bb_period=15,bb_std=2)",1.0000,13.3197,8,0.9497,0.2500,0.2000,0.1500,0.1500,0.0498,0.0999,0.0500,0.0000,-1.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,13.5852,42.0521,973.9747,28254.1013,6.5476,0.8025,11.0084,81,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=20,rsi_high=70,bb_period=15,bb_std=2)",1.0000,12.8326,7,0.9490,0.2499,0.2000,0.1500,0.1500,0.0493,0.0998,0.0500,0.0000,-1.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,14.5332,80.7539,643.4893,12166.0214,1.7960,0.8228,17.4050,79,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=20,rsi_high=80,bb_period=30,bb_std=2.5)",1.0000,10.4230,6,0.9481,0.2500,0.2000,0.1500,0.1500,0.0483,0.0999,0.0500,0.0000,-1.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,10.2644,25.8505,186.2723,14731.6583,8.7297,0.8000,6.4293,80,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=75,bb_period=20,bb_std=2.5)",1.0000,9.9775,9,0.9469,0.2495,0.2000,0.1498,0.1500,0.0488,0.0988,0.0500,0.0000,-1.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,16.2717,69.1061,2111.0643,24951.9279,3.1114,0.8267,17.7756,75,bb_mean_revert,"rsi_bb_mr(rsi_period=21,rsi_low=25,rsi_high=70,bb_period=15,bb_std=2)",1.0000,13.3937,7,0.9461,0.2500,0.2000,0.1500,0.1500,0.0462,0.0999,0.0500,0.0000,-1.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,14.4662,53.3583,1120.5066,20214.7985,3.7449,0.8514,15.3213,74,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=20,rsi_high=75,bb_period=30,bb_std=2.5)",1.0000,14.4875,7,0.9455,0.2500,0.2000,0.1500,0.1500,0.0457,0.0999,0.0500,0.0000,-1.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,8.0364,18.1594,13.1167,19827.9543,16.7400,0.7288,3.9659,236,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=75,bb_period=20,bb_std=2)",1.0000,8.5670,8,0.9453,0.2477,0.1729,0.1444,0.1500,0.0918,0.0965,0.0421,0.0000,-1.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,13.6848,46.3126,1220.1650,21454.0773,4.4172,0.8194,13.8033,72,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=20,rsi_high=70,bb_period=30,bb_std=2.5)",1.0000,13.7896,6,0.9444,0.2499,0.2000,0.1500,0.1500,0.0446,0.0998,0.0500,0.0000,-1.0000,0.0000
4h,2024-05-09,2026-05-09,4383,7.3640,3.8070,11.3470,29.8790,66.3193,8150.1685,9.8558,0.7973,5.5774,74,bb_mean_revert,"rsi_bb_mr(rsi_period=21,rsi_low=25,rsi_high=75,bb_period=30,bb_std=2.5)",1.0000,9.3459,7,0.9438,0.2497,0.2000,0.1493,0.1500,0.0457,0.0993,0.0497,0.0000,-1.0000,0.0000
