timeframe,date_from,date_to,bars_count,price_start,price_end,sharpe_ratio,sortino_ratio,calmar_ratio,total_return,max_drawdown_pct,win_rate,profit_factor,total_trades,exit_mode,parameters,plateau_ratio,avg_neighbor_sharpe,neighbor_count,composite_score,cc_sharpe,cc_calmar,cc_profit_factor,cc_plateau,cc_trades,cc_cost_stress,cc_win_rate,cc_dd_penalty,wfo_pass_rate,wfo_avg_test_sharpe
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,50.1221,190.4270,1757510310.2760,17445.4023,7.3635,0.8644,8.9447,118,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=80,bb_period=20,bb_std=2)",1.0000,48.9407,8,0.9656,0.2500,0.2000,0.1500,0.1500,0.0657,0.1000,0.0500,0.0000,1.0000,209.9045
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,35.0196,111.4471,2808422.1582,11126.0261,6.0927,0.7333,6.9421,135,bb_mean_revert,"rsi_bb_mr(rsi_period=21,rsi_low=30,rsi_high=70,bb_period=15,bb_std=2)",1.0000,30.6047,6,0.9641,0.2500,0.2000,0.1499,0.1500,0.0716,0.1000,0.0426,0.0000,0.0000,0.0000
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,37.9278,175.0608,2128204.0726,8359.6993,4.1139,0.7845,9.3737,116,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=70,bb_period=30,bb_std=2.5)",1.0000,28.6814,5,0.9632,0.2500,0.2000,0.1500,0.1500,0.0649,0.1000,0.0483,0.0000,0.0000,0.0000
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,37.9278,175.0608,2128204.0726,8359.6993,4.1139,0.7845,9.3737,116,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=70,bb_period=30,bb_std=2.5)",1.0000,30.1752,6,0.9632,0.2500,0.2000,0.1500,0.1500,0.0649,0.1000,0.0483,0.0000,0.0000,0.0000
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,36.3197,107.2426,6192925.9445,12333.6491,11.3294,0.7462,5.1062,130,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=80,bb_period=30,bb_std=2)",1.0000,35.7127,8,0.9627,0.2500,0.2000,0.1487,0.1500,0.0700,0.1000,0.0440,0.0000,0.0000,0.0000
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,35.9733,163.7039,2011955.5816,8061.8959,3.2012,0.7759,8.0107,116,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=75,bb_period=30,bb_std=2.5)",1.0000,29.8885,7,0.9622,0.2500,0.2000,0.1500,0.1500,0.0649,0.1000,0.0473,0.0000,0.0000,0.0000
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,35.9733,163.7039,2011955.5816,8061.8959,3.2012,0.7759,8.0107,116,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=75,bb_period=30,bb_std=2.5)",1.0000,28.9239,6,0.9622,0.2500,0.2000,0.1500,0.1500,0.0649,0.1000,0.0473,0.0000,0.0000,0.0000
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,32.8249,133.0246,1107469.4685,6906.0836,4.2104,0.8113,6.8410,106,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=80,bb_period=30,bb_std=2.5)",1.0000,29.5400,6,0.9607,0.2500,0.2000,0.1499,0.1500,0.0609,0.1000,0.0500,0.0000,0.0000,0.0000
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,32.8249,133.0246,1107469.4685,6906.0836,4.2104,0.8113,6.8410,106,bb_mean_revert,"rsi_bb_mr(rsi_period=7,rsi_low=30,rsi_high=80,bb_period=30,bb_std=2.5)",1.0000,29.9920,5,0.9607,0.2500,0.2000,0.1499,0.1500,0.0609,0.1000,0.0500,0.0000,0.0000,0.0000
4h,2024-05-09,2026-05-09,4383,62159.0600,80673.2600,48.2494,200.9677,2586786435.9386,14848.3301,6.3608,0.8476,9.8509,105,bb_mean_revert,"rsi_bb_mr(rsi_period=21,rsi_low=30,rsi_high=75,bb_period=20,bb_std=2)",1.0000,47.7432,8,0.9604,0.2500,0.2000,0.1500,0.1500,0.0604,0.1000,0.0500,0.0000,0.0000,0.0000
