symbol,strategy,exit_mode,p1,p2,p3,atr_per,sl_mult,trail_mult,sharpe,trades,return_pct,dd_pct,win_rate
BTCUSDT,donchian,chan,20,20,2.0,10,2.0,3.0,-4.514,26,-1393.56,20.09,0.35
BTCUSDT,donchian,chan,20,20,2.0,10,2.0,3.5,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,10,2.0,4.0,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,14,0.8,1.8,-2.217,149,-1863.08,33.91,0.29
BTCUSDT,donchian,chan,20,20,2.0,14,0.8,2.5,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,14,0.8,3.0,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,14,0.8,3.5,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,14,0.8,4.0,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,14,1.0,1.8,-2.367,144,-2382.22,38.47,0.33
BTCUSDT,donchian,chan,20,20,2.0,14,1.0,2.5,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,14,1.0,3.0,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,14,1.0,3.5,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,14,1.0,4.0,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,14,1.2,1.8,-2.221,141,-2339.51,37.83,0.35
BTCUSDT,donchian,chan,20,20,2.0,14,1.2,2.5,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,14,1.2,3.0,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,14,1.2,3.5,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,14,1.2,4.0,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,14,1.5,1.8,-2.268,141,-2473.98,39.11,0.36
BTCUSDT,donchian,chan,20,20,2.0,14,1.5,2.5,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,14,1.5,3.0,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,14,1.5,3.5,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,14,1.5,4.0,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,14,2.0,1.8,-2.431,141,-2729.87,41.55,0.36
BTCUSDT,donchian,chan,20,20,2.0,14,2.0,2.5,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,14,2.0,3.0,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,14,2.0,3.5,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,14,2.0,4.0,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,21,0.8,1.8,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,21,0.8,2.5,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,21,0.8,3.0,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,21,0.8,3.5,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,21,0.8,4.0,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,21,1.0,1.8,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,21,1.0,2.5,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,21,1.0,3.0,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,21,1.0,3.5,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,21,1.0,4.0,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,21,1.2,1.8,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,21,1.2,2.5,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,21,1.2,3.0,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,21,1.2,3.5,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,21,1.2,4.0,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,21,1.5,1.8,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,21,1.5,2.5,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,21,1.5,3.0,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,21,1.5,3.5,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,21,1.5,4.0,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,21,2.0,1.8,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,21,2.0,2.5,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,21,2.0,3.0,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,21,2.0,3.5,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,20,20,2.0,21,2.0,4.0,0.000,1,517.97,0.00,1.00
BTCUSDT,donchian,chan,25,25,2.0,10,0.8,1.8,-2.773,132,-2389.25,36.56,0.27
BTCUSDT,donchian,chan,25,25,2.0,10,0.8,2.5,-1.679,106,-1425.65,30.96,0.26
BTCUSDT,donchian,chan,25,25,2.0,10,0.8,3.0,-2.712,102,-2594.21,36.72,0.23
BTCUSDT,donchian,chan,25,25,2.0,10,0.8,3.5,-2.197,96,-2767.38,37.33,0.18
BTCUSDT,donchian,chan,25,25,2.0,10,0.8,4.0,-1.907,89,-2225.28,35.13,0.15
BTCUSDT,donchian,chan,25,25,2.0,10,1.0,1.8,-3.122,127,-3241.52,44.42,0.29
BTCUSDT,donchian,chan,25,25,2.0,10,1.0,2.5,-2.731,98,-2949.47,39.71,0.28
BTCUSDT,donchian,chan,25,25,2.0,10,1.0,3.0,-2.570,93,-3214.04,42.29,0.25
BTCUSDT,donchian,chan,25,25,2.0,10,1.0,3.5,-3.216,88,-4436.28,52.88,0.19
BTCUSDT,donchian,chan,25,25,2.0,10,1.0,4.0,-2.889,81,-3658.10,47.17,0.17
BTCUSDT,donchian,chan,25,25,2.0,10,1.2,1.8,-2.397,125,-2654.81,39.40,0.31
BTCUSDT,donchian,chan,25,25,2.0,10,1.2,2.5,-3.956,97,-4506.87,54.04,0.26
BTCUSDT,donchian,chan,25,25,2.0,10,1.2,3.0,-3.167,90,-4271.96,51.20,0.26
BTCUSDT,donchian,chan,25,25,2.0,10,1.2,3.5,-3.727,85,-5424.59,62.23,0.20
BTCUSDT,donchian,chan,25,25,2.0,10,1.2,4.0,12.839,2,709.06,0.83,0.50
BTCUSDT,donchian,chan,25,25,2.0,10,1.5,1.8,-2.385,125,-2712.51,40.36,0.34
BTCUSDT,donchian,chan,25,25,2.0,10,1.5,2.5,-3.780,94,-4374.04,52.51,0.28
BTCUSDT,donchian,chan,25,25,2.0,10,1.5,3.0,-2.915,84,-3940.61,47.50,0.30
BTCUSDT,donchian,chan,25,25,2.0,10,1.5,3.5,-3.627,78,-5207.52,59.59,0.23
BTCUSDT,donchian,chan,25,25,2.0,10,1.5,4.0,12.839,2,709.06,0.83,0.50
BTCUSDT,donchian,chan,25,25,2.0,10,2.0,1.8,-2.600,125,-3051.51,42.42,0.34
BTCUSDT,donchian,chan,25,25,2.0,10,2.0,2.5,-2.511,88,-2859.86,39.38,0.32
BTCUSDT,donchian,chan,25,25,2.0,10,2.0,3.0,-1.805,75,-2451.79,35.10,0.35
BTCUSDT,donchian,chan,25,25,2.0,10,2.0,3.5,-2.456,68,-3498.62,43.15,0.28
BTCUSDT,donchian,chan,25,25,2.0,10,2.0,4.0,12.839,2,709.06,0.83,0.50
BTCUSDT,donchian,chan,25,25,2.0,14,0.8,1.8,-2.326,133,-1865.15,32.74,0.28
BTCUSDT,donchian,chan,25,25,2.0,14,0.8,2.5,-2.678,110,-2276.13,33.54,0.26
BTCUSDT,donchian,chan,25,25,2.0,14,0.8,3.0,-2.427,102,-2319.88,35.72,0.24
BTCUSDT,donchian,chan,25,25,2.0,14,0.8,3.5,-2.653,96,-2550.59,38.19,0.20
BTCUSDT,donchian,chan,25,25,2.0,14,0.8,4.0,-1.906,90,-2234.51,35.12,0.16
