sharpe_ratio,sortino_ratio,calmar_ratio,total_return,max_drawdown_pct,win_rate,profit_factor,total_trades,parameters,plateau_ratio,avg_neighbor_sharpe,neighbor_count,composite_score,cc_sharpe,cc_calmar,cc_profit_factor,cc_plateau,cc_trades,cc_cost_stress,cc_win_rate,cc_dd_penalty,wfo_pass_rate,wfo_avg_test_sharpe
12.3222,32.0752,98.8489,8363.0359,6.7029,0.7467,6.8646,75,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=75,bb_period=20,bb_std=2)",1.0000,11.8917,9,0.9396,0.2499,0.2000,0.1499,0.1500,0.0462,0.0996,0.0441,0.0000,-1.0000,0.0000
14.7556,45.6660,269.0746,7514.1486,3.2143,0.7903,9.7241,62,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=80,bb_period=20,bb_std=1.5)",1.0000,13.0479,8,0.9379,0.2500,0.2000,0.1500,0.1500,0.0391,0.0999,0.0489,0.0000,-1.0000,0.0000
7.5738,13.6084,13.7065,14755.2526,18.4559,0.7389,3.7991,180,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=80,bb_period=15,bb_std=1.5)",1.0000,10.2757,6,0.9377,0.2468,0.1758,0.1430,0.1500,0.0834,0.0956,0.0432,0.0000,-1.0000,0.0000
15.5393,98.9834,3989.7235,21522.3561,1.8423,0.7612,19.8425,67,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=70,bb_period=30,bb_std=2)",1.0000,14.8573,8,0.9375,0.2500,0.2000,0.1500,0.1500,0.0419,0.0999,0.0457,0.0000,-1.0000,0.0000
11.6308,21.9859,56.4476,6433.2603,10.6599,0.8594,4.6855,64,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=80,bb_period=20,bb_std=1.5)",1.0000,11.3370,7,0.9373,0.2498,0.2000,0.1478,0.1500,0.0403,0.0994,0.0500,0.0000,-1.0000,0.0000
13.2576,60.8659,453.3554,8914.5744,2.8170,0.7869,14.5904,61,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=75,bb_period=20,bb_std=2)",1.0000,12.9805,10,0.9368,0.2499,0.2000,0.1500,0.1500,0.0386,0.0997,0.0485,0.0000,-1.0000,0.0000
10.5502,24.0234,35.6124,9040.0778,10.0484,0.7925,5.4422,106,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=80,bb_period=15,bb_std=2)",0.8571,8.2526,7,0.9360,0.2496,0.1997,0.1492,0.1286,0.0609,0.0990,0.0492,0.0000,-1.0000,0.0000
25.2731,251.2345,4210.9981,9458.5317,0.5019,0.9444,84.4918,54,"rsi_bb_mr(rsi_period=21,rsi_low=30,rsi_high=75,bb_period=30,bb_std=2)",1.0000,18.7098,7,0.9345,0.2500,0.2000,0.1500,0.1500,0.0345,0.1000,0.0500,0.0000,-1.0000,0.0000
16.3306,106.1464,1209.3370,8468.6529,1.4295,0.8113,27.5683,53,"rsi_bb_mr(rsi_period=21,rsi_low=30,rsi_high=70,bb_period=20,bb_std=2)",1.0000,15.3456,7,0.9339,0.2500,0.2000,0.1500,0.1500,0.0339,0.0999,0.0500,0.0000,-1.0000,0.0000
14.4924,32.7865,132.8854,5995.1862,6.1889,0.8491,7.1075,53,"rsi_bb_mr(rsi_period=14,rsi_low=30,rsi_high=80,bb_period=30,bb_std=2)",1.0000,15.7957,7,0.9337,0.2500,0.2000,0.1499,0.1500,0.0339,0.0999,0.0500,0.0000,-1.0000,0.0000
18.8925,125.0873,1469.3630,7537.8916,0.9566,0.8846,33.9831,52,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=80,bb_period=30,bb_std=2)",1.0000,16.4426,8,0.9333,0.2500,0.2000,0.1500,0.1500,0.0333,0.1000,0.0500,0.0000,-1.0000,0.0000
11.2228,50.4363,241.7082,7877.6820,1.5279,0.7766,9.8819,94,"rsi_bb_mr(rsi_period=7,rsi_low=25,rsi_high=75,bb_period=15,bb_std=2)",0.8750,8.8977,8,0.9332,0.2497,0.2000,0.1500,0.1313,0.0556,0.0993,0.0474,0.0000,-1.0000,0.0000
17.1781,139.8179,3495.6506,11550.5700,1.4415,0.8571,38.9186,49,"rsi_bb_mr(rsi_period=21,rsi_low=25,rsi_high=75,bb_period=30,bb_std=1.5)",1.0000,15.9997,7,0.9315,0.2500,0.2000,0.1500,0.1500,0.0316,0.1000,0.0500,0.0000,-1.0000,0.0000
11.1377,51.6199,304.0180,15670.8631,6.0257,0.6500,7.1740,80,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=70,bb_period=20,bb_std=2)",1.0000,11.3598,7,0.9310,0.2497,0.2000,0.1499,0.1500,0.0488,0.0992,0.0333,0.0000,-1.0000,0.0000
13.3941,37.7160,194.9549,6336.4391,4.1015,0.7500,7.9092,56,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=80,bb_period=15,bb_std=1.5)",1.0000,11.6053,7,0.9298,0.2499,0.2000,0.1500,0.1500,0.0357,0.0998,0.0444,0.0000,-1.0000,0.0000
17.0779,148.4115,4102.5952,10951.0462,1.3635,0.8478,40.1554,46,"rsi_bb_mr(rsi_period=21,rsi_low=25,rsi_high=75,bb_period=20,bb_std=1.5)",1.0000,15.9211,8,0.9297,0.2500,0.2000,0.1500,0.1500,0.0297,0.1000,0.0500,0.0000,-1.0000,0.0000
13.9512,67.3406,2409.3167,14950.4389,2.6715,0.7455,11.7604,55,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=70,bb_period=20,bb_std=2)",1.0000,13.3859,9,0.9288,0.2500,0.2000,0.1500,0.1500,0.0351,0.0998,0.0439,0.0000,-1.0000,0.0000
10.2890,45.8014,215.2574,13566.8770,6.3865,0.6375,6.2238,80,"rsi_bb_mr(rsi_period=7,rsi_low=20,rsi_high=75,bb_period=20,bb_std=2)",1.0000,11.1419,8,0.9288,0.2495,0.2000,0.1497,0.1500,0.0488,0.0988,0.0319,0.0000,-1.0000,0.0000
