timeframe,date_from,date_to,bars_count,price_start,price_end,sharpe_ratio,sortino_ratio,calmar_ratio,total_return,max_drawdown_pct,win_rate,profit_factor,total_trades,exit_mode,parameters,plateau_ratio,avg_neighbor_sharpe,neighbor_count,composite_score,cc_sharpe,cc_calmar,cc_profit_factor,cc_plateau,cc_trades,cc_cost_stress,cc_win_rate,cc_dd_penalty,wfo_pass_rate,wfo_avg_test_sharpe
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,8.9186,23.8517,146.2729,7344.6563,5.8984,0.6393,4.3320,61,ema_cross,"ema_crossover(fast=34,slow=89,adx_min=20)",1.0000,5.7674,5,0.9136,0.2487,0.2000,0.1465,0.1500,0.0386,0.0977,0.0321,0.0000,-1.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,7.7417,11.9805,70.3751,47349.7200,14.0716,0.7880,6.3349,184,bb_mean_revert,"rsi_bb_mr(rsi_period=21,rsi_low=30,rsi_high=80,bb_period=20,bb_std=2)",0.5714,2.0524,7,0.9114,0.2471,0.2000,0.1498,0.0857,0.0842,0.0959,0.0487,0.0000,-1.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,7.3794,21.1992,49.9937,5693.9581,6.1756,0.6000,3.8355,80,ema_cross,"ema_crossover(fast=8,slow=144,adx_min=25)",1.0000,6.7008,4,0.9114,0.2464,0.2000,0.1433,0.1500,0.0488,0.0951,0.0278,0.0000,-1.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,6.6514,10.3504,78.5063,31492.2018,15.4624,0.7482,5.5781,139,bb_mean_revert,"rsi_bb_mr(rsi_period=21,rsi_low=25,rsi_high=80,bb_period=15,bb_std=2)",0.7143,3.1574,7,0.9108,0.2441,0.2000,0.1493,0.1071,0.0729,0.0931,0.0442,0.0000,-1.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,10.8289,26.4603,514.1100,7088.9089,10.0226,0.7059,5.1638,34,channel_break,"keltner_breakout(ema=10,atr=30,atr_mult=3.2,atr_pct_min=0.005)",1.0000,8.2772,6,0.9094,0.2496,0.2000,0.1488,0.1500,0.0223,0.0991,0.0395,0.0000,-1.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,10.8289,26.4603,514.1100,7088.9089,10.0226,0.7059,5.1638,34,channel_break,"keltner_breakout(ema=10,atr=30,atr_mult=3.2,atr_pct_min=0)",1.0000,7.9649,5,0.9094,0.2496,0.2000,0.1488,0.1500,0.0223,0.0991,0.0395,0.0000,-1.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,7.4288,18.5451,63.0946,6984.8718,6.3989,0.5976,3.5251,82,ema_cross,"ema_crossover(fast=13,slow=89,adx_min=20)",1.0000,8.3757,6,0.9090,0.2465,0.2000,0.1400,0.1500,0.0498,0.0952,0.0275,0.0000,-1.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,6.0503,12.8899,14.3181,11713.5962,10.2088,0.5674,3.2072,215,ema_cross,"ema_crossover(fast=13,slow=21,adx_min=20)",1.0000,4.1837,4,0.9088,0.2413,0.1784,0.1350,0.1500,0.0892,0.0907,0.0242,0.0000,-1.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,5.7160,17.3994,31.5611,5467.7365,3.7781,0.5507,3.2486,138,ema_cross,"ema_crossover(fast=8,slow=55,adx_min=25)",1.0000,7.1998,5,0.9082,0.2392,0.1993,0.1357,0.1500,0.0726,0.0891,0.0223,0.0000,-1.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,7.3056,11.7224,80.3718,13977.1245,16.8998,0.7439,4.2108,82,squeeze_release,"keltner_squeeze(ema=30,kelt_mult=2,bb=20,bb_std=1.5)",0.8333,3.0846,6,0.9056,0.2462,0.2000,0.1459,0.1250,0.0498,0.0949,0.0438,0.0000,-1.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,6.6242,11.3956,31.5685,92989.0853,8.8927,0.7517,7.6978,439,bb_mean_revert,"rsi_bb_mr(rsi_period=14,rsi_low=25,rsi_high=80,bb_period=30,bb_std=2)",0.5000,1.5966,8,0.9053,0.2440,0.1993,0.1500,0.0750,0.0994,0.0930,0.0446,0.0000,-1.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,8.3944,15.3089,134.6701,14830.6701,16.2878,0.7260,4.6524,73,channel_break,"keltner_breakout(ema=10,atr=30,atr_mult=2.8,atr_pct_min=0.005)",0.8333,5.7055,6,0.9048,0.2482,0.2000,0.1477,0.1250,0.0452,0.0970,0.0418,0.0000,-1.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,6.6051,13.0023,37.3521,6291.7817,7.8601,0.6629,2.9484,89,signal_cross,"macd(fast=16,slow=34,signal=12,trend=200)",1.0000,5.6819,4,0.9038,0.2440,0.1998,0.1292,0.1500,0.0532,0.0929,0.0348,0.0000,-1.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,6.3663,13.4330,26.8877,8232.0899,11.2253,0.6111,2.9698,108,ema_cross,"ema_crossover(fast=5,slow=89,adx_min=25)",1.0000,7.0368,4,0.9036,0.2429,0.1982,0.1298,0.1500,0.0617,0.0920,0.0290,0.0000,-1.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,9.8384,24.0283,386.0617,6262.0346,11.5348,0.6875,4.3572,32,channel_break,"keltner_breakout(ema=10,atr=30,atr_mult=3.2,atr_pct_min=0.008)",1.0000,7.3129,5,0.9030,0.2493,0.2000,0.1466,0.1500,0.0210,0.0985,0.0375,0.0000,-1.0000,0.0000
4h,2020-11-17,2026-05-09,12000,16573.5800,80673.2600,6.3812,12.4645,33.7458,5880.6980,7.2894,0.6667,2.8984,93,signal_cross,"macd(fast=16,slow=34,signal=9,trend=200)",1.0000,5.5587,5,0.9028,0.2430,0.1995,0.1279,0.1500,0.0551,0.0921,0.0352,0.0000,-1.0000,0.0000
